Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание;
"Kultlab Лямки для тяги длинная эмблема, пара
"; Спортивный инвентарь;Лямки для тяги;;;;https://kultlab.ru/catalog/lyamki-dlya-tyagi/kultlab-lyamki-dlya-tyagi-dlinnaya-emblema-tkan/;;;;
"Kultlab Ремень кожаный узкий двухслойный
"; Спортивный инвентарь;Ремни ;;;;https://kultlab.ru/catalog/remni/kultlab-remen-kozhanyy-uzkiy-dvukhsloynyy/;;;"Этот пояс подойдёт профессиональному штангисту для выполнения рывка, толчка и других упражнений. Также он может применяться в силовом троеборье (пауэрлифтинге), в тренировках культуристов и других спортсменов. Узкие ремни также хороши для занятий фитнесом. Если в упражнении задействованы мышцы спины, он поможет защитить её от вероятной травмы.Виды размеров и их длина:размер «0» - (60-89 см)размер «1» - (79-99 см)размер «2» - (90-110 см)размер «3» - (98-118 см)";
"Kultlab Ремень кожаный 2-х слойный пауэрлифтерский
"; Спортивный инвентарь;Ремни ;;;;https://kultlab.ru/catalog/remni/kultlab-remen-kozhanyy-2-kh-sloynyy-pauerlifterskiy/;;;Силовой пояс кожанный. Предназначен для занятий пауэрлифтингом.Виды размеров и их длина:размер «0» - (60-89 см)размер «1» - (79-99 см)размер «2» - (90-110 см)размер «3» - (98-118 см)Две цифры в размере обозначают расстояние от внешнего края пряжки до самого ближнего и самого дальнего отверстий на другой стороне ремня.;
"Kultlab Ремень кожаный унисекс Джуниор
"; Спортивный инвентарь;Ремни ;;;;https://kultlab.ru/catalog/remni/kultlab-remen-kozhanyy-uniseks-dzhunior/;;;;
"Kultlab Ремень для тяги (с цепью)
"; Спортивный инвентарь;Ремни ;;;;https://kultlab.ru/catalog/remni/kultlab-remen-dlya-tyagi-s-tsepyu/;;;"Пояс предназначен для использования дополнительных отягощений в упражнениях:- Отжимания на параллельных брусьях- Подтягивания на перекладине- Приседания.Также используется в тренировке икроножных мышц ,отжиманиях и тренировки пресса.Широкий и мягкий пояс отлично ложится и не давит в спину во время тренировки.Использование пояса в приседаниях исключает нагрузку на позвоночник и позволяет избежать серьезных травм спины.";
"Kultlab Сумка мужская ""Bag FM""
"; Спортивный инвентарь;Спортивная сумка;;;;https://kultlab.ru/catalog/sumki/kultlab-sumka-muzhskaya-bag-fm/;;;;
"kultlab Сумка-цилиндр
"; Спортивный инвентарь;Спортивная сумка;;;;https://kultlab.ru/catalog/sumki/kultlab-sumka-tsilindr/;;;"Фирменная спортивная сумкка от KultLab в форме цилиндра.Сумка с подкладом. На передней стенке и внутри имеется карман на молнии.Ручки можно соединить вместе для удобства ношения, также имеется перекидной ремень, который можно отстегнуть.Габариты сумки:Длина - 50 смДиаметр - 32 см";
"Kultlab Сумка ""Bag FW""
"; Спортивный инвентарь;Спортивная сумка;;;https://www.wildberries.ru/catalog/182999874/detail.aspx;https://kultlab.ru/catalog/sumki/kultlab-sumka-zhenskaya-bag-fw/;;;;
"kultlab Сумка-цилиндр Джей Катлер
"; Спортивный инвентарь;Спортивная сумка;;;;https://kultlab.ru/catalog/sumki/kultlab-sumka-tsilindr-dzhey-katler/;;;;
"Kultlab Сумка Front Logo
"; Спортивный инвентарь;Спортивная сумка;;;;https://kultlab.ru/catalog/sumki/kultlab-sumka-front-logo/;;;;
"Kultlab Бутылка для воды, 900 мл
"; Спортивный инвентарь;"Спортивные бутылки
";;;;https://kultlab.ru/catalog/flyagi/kultlab-butylka-dlya-vody-900-ml/;;;"Удобная бутылка для воды Kultlab 900 мл избавит от жажды любого спортсмена, защитив от обезвоживания и потери работоспособности. При этом вес бутылки с водой совсем невелик, она компактная и не займет много места в спортивной сумке. У бутылки есть ремешок, поэтому при тренировке на открытом воздухе (пробежке или велопрогулке) можно вообще не брать сумку с собой, а нести бутылку в руке.Для удобства смешивания и отслеживания колличества выпитой жидкости на задней стороне бутылки расположена мерная шкала.";
"Kultlab Шейкер, 700 мл
"; Спортивный инвентарь;"Спортивные бутылки
";;;;https://kultlab.ru/catalog/sheykery/kultlab-sheyker-700-ml/;;;"Шейкер изготовлен из безопасного пищевого пластика, не содержащего вредных компонентов. Следовательно, пользование шейкером совершенно безвредно и ни в коем случае не нанесет ущерба здоровью. При аккуратном использовании шейкер будет служить Вам долгое время и обеспечивать Вас необходимыми спортивными напитками, которые помогут в достижении поставленных целей.";
"Kultlab Шейкер PRO, 800 мл
"; Спортивный инвентарь;"Спортивные бутылки
";;;;https://kultlab.ru/catalog/sheykery/kultlab-sheyker-pro-800-ml/;;;Усовершенствованный шейкер увеличенной емкости - 800 мл!Крепкий пластик и плотная крышка - всё это имеет данный шейкер и отлично подходит для любых твоих целей!;
"Kultlab Шейкер, 500 мл
"; Спортивный инвентарь;"Спортивные бутылки
";;;;https://kultlab.ru/catalog/sheykery/kultlab-sheyker-500-ml/;;;"Фирменный шейкер Kultlab объёмом 500 мл.В комплект шейкера входит металлический шарик из нержвеющей стали для взбития, который улучшает смешиваемость ингредиентов, что позволяет получить готовый протеиновый коктейль без комков.Мерная шкала позволяет приготовить напиток в точности с инструкцией.";
